postcode,street_name,town,prov
M1 1EA,Lever Street,Manchester,
M1 1FT,Newton Street,Manchester,
M1 2HG,Dale Street,Manchester,
M1 2JN,Ducie Street,Manchester,
M1 2JQ,Ducie Street,Manchester,
M1 2WH,Chapeltown Street,Manchester,
M1 3DA,Aytoun Street,Manchester,
M1 3DB,Aytoun Street,Manchester,
M1 3GW,Whitworth Street,Manchester,
M1 3LZ,Sackville Street,Manchester,
M1 3NF,Sackville Street,Manchester,
M1 3NJ,Sackville Street,Manchester,
M1 3PW,Brazil Street,Manchester,
M1 4LF,Dickinson Street,Manchester,
M1 5BD,Whitworth Street West,Manchester,
M1 5BY,Cambridge Street,Manchester,
M1 5DD,Whitworth Street West,Manchester,
M1 5EB,Whitworth Street West,Manchester,
M1 5ED,Whitworth Street West,Manchester,
M1 5ND,Whitworth Street West,Manchester,
M1 5NG,Whitworth Street West,Manchester,
M1 5NP,New Wakefield Street,Manchester,
M1 5QA,Oxford Road,Manchester,
M1 5QJ,Lower Ormond Street,Manchester,
M1 5WG,Whitworth Street West,Manchester,
M1 5WQ,Whitworth Street West,Manchester,
M1 5WW,Whitworth Street West,Manchester,
M1 6BD,Princess Street,Manchester,
M1 6DE,Princess Street,Manchester,
M1 6HR,Princess Street,Manchester,
M1 6LT,Whitworth Street,Manchester,
M1 6NG,Princess Street,Manchester,
M1 7AB,Granby Row,Manchester,
M1 7AG,Princess Street,Manchester,
M1 7BD,Charles Street,Manchester,
M11 3TW,Hartwell Close,Manchester,
M12 5NL,Bennett Street,Manchester,
M13 0BB,Upper West Grove,Manchester,
M13 0FE,Hathersage Road,Manchester,
M13 0FN,Hathersage Road,Manchester,
M13 0HY,Hathersage Road,Manchester,
M13 0JR,Hathersage Road,Manchester,
M13 0NW,Birch Lane,Manchester,
M13 0YG,Greville Street,Manchester,
M13 0YL,Dickenson Road,Manchester,
M13 9DP,Lauderdale Crescent,Manchester,
M13 9ER,Aspull Walk,Manchester,
M14 4FZ,Parkfield Avenue,Manchester,
M14 4HL,Parkfield Avenue,Manchester,
M14 5AP,Wilmslow Road,Manchester,
M14 5LY,Hadfield Close,Manchester,
M14 5QL,Daisy Bank Road,Manchester,
M14 6DD,Mornington Crescent,Manchester,
M14 6HZ,Wilmslow Road,Manchester,
M14 6WN,Ladybarn Road,Manchester,
M14 7JJ,Broadfield Road,Manchester,
M15 4HZ,Angela Street,Manchester,
M15 4LG,Blantyre Street,Manchester,
M15 4NP,Great Jackson Street,Manchester,
M15 4QE,City Road East,Manchester,
M15 4QG,Chester Road,Manchester,
M15 4QU,Jordan Street,Manchester,
M15 4TB,City Road East,Manchester,
M15 4TD,City Road East,Manchester,
M15 4TL,City Road,Manchester,
M15 5AX,Greenheys Lane West,Manchester,
M15 6AP,Higher Cambridge Street,Manchester,
M16 0BH,Upper Chorlton Road,Manchester,
M16 0BQ,Cromwell Avenue,Manchester,
M16 0BU,Strathmore Avenue,Manchester,
M16 0DZ,Manchester Road,Manchester,
M16 7RQ,Upper Chorlton Road,Manchester,
M16 8FS,Range Road,Manchester,
M16 9AE,East Union Street,Manchester,
M16 9LU,Stamford Street,Manchester,
M16 9NH,Ayres Road,Manchester,
M18 7LP,Brighton Range,Manchester,
M18 7TP,Hamsterley Avenue,Manchester,
M18 8GN,Brightman Street,Manchester,
M19 2LZ,Burnside Drive,Manchester,
M19 3DQ,Brook Avenue,Manchester,
M2 2JG,Brown Street,Manchester,
M2 4AD,Booth Street,Manchester,
M2 4LQ,King Street,Manchester,
M2 4NH,King Street,Manchester,
M2 4WU,King Street,Manchester,
M20 2GN,Barlow Moor Road,Manchester,
M20 2NU,Old Lansdowne Road,Manchester,
M20 2RQ,Stenner Lane,Manchester,
M20 2UA,Holme Road,Manchester,
M20 2UD,Palatine Road,Manchester,
M20 4XQ,Henwood Road,Manchester,
M20 4ZD,Central Road,Manchester,
M20 4ZE,Goulden Road,Manchester,
M20 6FJ,Fog Lane,Manchester,
M20 6TD,Atwood Road,Manchester,
M20 6XD,Elm Road,Manchester,
M21 0AT,Keppel Road,Manchester,
M21 0AU,Warwick Road,Manchester,
M21 0RD,Manley Road,Manchester,
M21 0SD,Wilbraham Road,Manchester,
M21 0UH,Wilbraham Road,Manchester,
M21 0YA,Withington Road,Manchester,
M21 7BD,Chelsfield Grove,Manchester,
M21 7QU,Haddon Road,Manchester,
M21 8DN,Hardy Lane,Manchester,
M21 9JF,Edge Lane,Manchester,
M21 9JH,Edge Lane,Manchester,
M21 9JN,Edge Lane,Manchester,
M22 0AD,Hazelwood Road,Manchester,
M22 1UG,Cotefield Road,Manchester,
M22 4ET,Palatine Road,Manchester,
M22 4FR,Palatine Road,Manchester,
M22 4JZ,Pepper Close,Manchester,
M22 8UA,Longhey Road,Manchester,
M24 6DD,Union Street,Manchester,
M25 0BL,Sheepfoot Lane,Manchester,
M25 0DN,Sheepfoot Lane,Manchester,
M25 1ES,Grosvenor Street,Manchester,
M25 3HH,Herbert Street,Manchester,
M25 7LH,Ringley Road,Manchester,
M25 9PE,Prestwich Park Road South,Manchester,
M25 9PF,Prestwich Park Road South,Manchester,
M25 9WS,George Street,Manchester,
M27 0YF,Worsley Road,Manchester,
M28 2NG,Sefton Drive,Manchester,
M28 2NT,Chatsworth Road,Manchester,
M28 2RX,Greenleach Lane,Manchester,
M28 2SQ,Hazelhurst Road,Manchester,
M28 2WR,Chatsworth Road,Manchester,
M3 1DY,Mirabel Street,Manchester,
M3 1NG,Mirabel Street,Manchester,
M3 1NN,Mirabel Street,Manchester,
M3 1PJ,Mirabel Street,Manchester,
M3 2BW,Deansgate,Manchester,
M3 3AA,Hardman Street,Manchester,
M3 3AT,Hardman Street,Manchester,
M3 3BZ,Bridge Street,Manchester,
M3 3HF,Hardman Street,Manchester,
M3 4AN,Lower Byrom Street,Manchester,
M3 4AP,Lower Byrom Street,Manchester,
M3 4BB,Potato Wharf,Manchester,
M3 4EF,Watson Street,Manchester,
M3 4EH,Watson Street,Manchester,
M3 4EP,Watson Street,Manchester,
M3 4JJ,Woollam Place,Manchester,
M3 4LP,Watson Street,Manchester,
M3 4LY,Deansgate,Manchester,
M3 4NA,Collier Street,Manchester,
M3 4NJ,Southern Street,Manchester,
M3 5DW,Chapel Street,Salford,
M3 5JZ,Chapel Street,Manchester,
M3 5NA,Clowes Street,Manchester,
M3 6EN,Adelphi Street,Manchester,
M3 7EL,Blackfriars Road,Salford,
M3 7NE,Greengate,Manchester,
M30 0DR,Wellington Road,Manchester,
M30 0SW,Devonshire Road,Manchester,
M30 7NA,Liverpool Road,Manchester,
M30 9BS,Winchester Road,Manchester,
M30 9ED,Stafford Road,Manchester,
M30 9ES,Clarendon Road,Manchester,
M30 9HN,Stafford Road,Manchester,
M32 0GB,Avondale Road,Manchester,
M35 0DF,Grimshaw Street,Manchester,
M35 9BS,Wrigley Head,Manchester,
M4 1ED,High Street,Manchester,
M4 1FS,High Street,Manchester,
M4 1HP,High Street,Manchester,
M4 1HQ,High Street,Manchester,
M4 1PE,Church Street,Manchester,
M4 1PN,Church Street,Manchester,
M4 4BR,Angel Street,Manchester,
M4 4BW,Ludgate Hill,Manchester,
M4 4BZ,Sharp Street,Manchester,
M4 4DS,Dyche Street,Manchester,
M4 4FQ,Lord Street,Manchester,
M4 4TG,Ludgate Hill,Manchester,
M4 4TJ,Ludgate Hill,Manchester,
M4 5BA,Redhill Street,Manchester,
M4 5BS,Pickford Street,Manchester,
M4 6JW,Jersey Street,Manchester,
M4 7AJ,Pollard Street,Manchester,
M4 7JA,Pollard Street,Manchester,
M40 8BG,Tadcaster Drive,Manchester,
M40 9DH,Kenyon Lane,Manchester,
M43 7WH,Shrewsbury Road,Manchester,
M45 7EP,Maple Avenue,Manchester,
M45 7LE,Ringley Road,Manchester,
M45 7LX,Ringley Drive,Manchester,
M45 7NT,Ringley Park,Manchester,
M45 7SZ,George Street,Manchester,
M45 7XQ,Ringley Road,Manchester,
M46 0BW,Hope Fold Avenue,Manchester,
M5 3EQ,Exchange Quay,Manchester,
M5 3FN,Taylorson Street South,Salford,
M5 3FP,Taylorson Street South,Salford,
M5 3NB,Ordsall Lane,Salford,
M5 3WJ,Ordsall Lane,Manchester,
M5 4BE,Brunel Avenue,Salford,
M5 4TD,Ordsall Lane,Manchester,
M5 5JJ,Weaste Lane,Salford,
M50 1AU,Pilgrims Way,Salford,
M50 1AW,Eccles New Road,Salford,
M50 1AZ,Pilgrims Way,Salford,
M50 2UD,Broadway,Salford,
M50 2UE,Broadway,Salford,
M6 6LS,Broughton Road,Salford,
M6 7DZ,Chaseley Road,Manchester,
M6 8QN,Manor Road,Manchester,
M60 0AG,Angel Street,Manchester,
M7 1AA,Oriel Gardens,Salford,
M7 4GZ,Upper Park Road,Manchester,
M7 4JJ,Old Hall Road,Salford,
M7 4WU,Bury New Road,Salford,
M8 0AR,Martingale Court,Manchester,
M8 4HG,Melton Road,Manchester,
M8 4NA,Middleton Road,Manchester,
M8 5EA,Rectory Road,Manchester,
M8 5QE,Saddlecote Close,Manchester,
M8 8BJ,Larch Gardens,Manchester,
M8 8BT,Waterloo Road,Manchester,
M8 8US,Holborn Drive,Manchester,
M8 8YE,Fairy Lane,Manchester,
M9 6HJ,Sidley Avenue,Manchester,
M9 7JA,Capricorn Road,Manchester,
M9 8NJ,Slack Road,Manchester,
M9 8NW,Maplewood Close,Manchester,
M9 8QA,Bellfield Close,Manchester,
M9 8QB,Lakeside Rise,Manchester,
M9 8QD,Lakeside Rise,Manchester,
OX10 0DX,Church Lane,Wallingford,
OX10 0HQ,Springdale,Wallingford,
